DEPTH,EPOCHS,LEARNING_RATE,BATCH_SIZE,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Validation Precision,Validation Recall,Validation F1 Score
50,10,0.1,16,0.026459919,3.673668623,0.026348736,3.683467865,0.000694335,0.026348737,0.001353016
50,10,0.1,32,0.028764492,3.661681414,0.028283633,3.669351339,0.000799964,0.028283633,0.001555921
50,10,0.1,64,0.050487231,3.583067417,0.050762575,3.561462402,0.0273005,0.050762577,0.0257358
50,10,0.1,128,0.05264955,3.5303092,0.055201456,3.544074297,0.054388531,0.055201457,0.028572275
50,10,0.1,256,0.215548754,2.608024836,0.16992943,2.981736422,0.180836011,0.169929433,0.132305762
50,10,0.001,16,0.988036156,0.048157204,0.977179587,0.133303612,0.977663827,0.977179604,0.977078914
50,10,0.001,32,0.990070403,0.034117077,0.975586176,0.11725001,0.977077574,0.97558616,0.975702588
50,10,0.001,64,0.992360771,0.023448911,0.9797405,0.077148736,0.980386791,0.979740496,0.979842933
50,10,0.001,128,0.994323909,0.016535114,0.981504679,0.06015601,0.98188332,0.981504667,0.98149663
50,10,0.001,256,0.997681201,0.008856634,0.980537236,0.062037729,0.981556815,0.980537218,0.980500653
50,10,0.0001,16,0.99810797,0.007692068,0.986967921,0.042531259,0.987190684,0.986967903,0.986992359
50,10,0.0001,32,0.998193324,0.008677847,0.987024784,0.039330911,0.987068996,0.987024812,0.987033581
50,10,0.0001,64,0.997652769,0.013022371,0.98355341,0.047448579,0.983803348,0.98355338,0.983581724
50,10,0.0001,128,0.995988309,0.022056663,0.983439565,0.048947014,0.983749657,0.983439563,0.98349101
50,10,0.0001,256,0.993356586,0.036654323,0.980764866,0.060349528,0.980956904,0.980764853,0.980746776
50,10,1.00E-07,16,0.35681057,2.735082626,0.375426829,2.687450886,0.360650239,0.375426815,0.353460499
50,10,1.00E-07,32,0.26539582,2.949305773,0.280559987,2.912793159,0.274897638,0.280559982,0.264859377
50,10,1.00E-07,64,0.127903834,3.304063797,0.135841116,3.275721788,0.142456473,0.135841111,0.11725441
50,10,1.00E-07,128,0.075012445,3.577343464,0.080184385,3.562585354,0.068519656,0.080184384,0.065914814
50,10,1.00E-07,256,0.063503802,3.781246901,0.065615751,3.773735046,0.051816101,0.065615752,0.036924374
50,25,0.1,16,0.026986273,3.672126293,0.026804006,3.670323372,0.028999081,0.026804006,0.001507207
50,25,0.1,32,0.027526852,3.66222477,0.026974732,3.665402412,0.051648914,0.026974733,0.001847169
50,25,0.1,64,0.028209688,3.654260397,0.024584567,3.658551693,0.000604401,0.024584566,0.001179797
50,25,0.1,128,0.052493066,3.53306365,0.052697472,3.540193081,0.027259974,0.052697473,0.027161318
50,25,0.1,256,0.053005192,3.525053024,0.054689277,3.524462461,0.027310483,0.054689278,0.027851218
50,25,0.001,16,0.994338155,0.034777485,0.980764866,0.205218643,0.981286222,0.980764853,0.980742151
50,25,0.001,32,0.995305479,0.020887274,0.981163204,0.157068193,0.981717381,0.981163214,0.981147745
50,25,0.001,64,0.996201694,0.015222295,0.979399025,0.149892345,0.980787803,0.979399044,0.979512516
50,25,0.001,128,0.996685386,0.012233481,0.985260665,0.07199882,0.985765266,0.985260642,0.985276153
50,25,0.001,256,0.994921386,0.016977521,0.983211935,0.070282027,0.983347748,0.983211928,0.983186288
50,25,0.0001,16,0.999160707,0.003045026,0.987138629,0.052353337,0.987315595,0.98713863,0.987136875
50,25,0.0001,32,0.999644339,0.002088937,0.988219917,0.042275153,0.988359136,0.988219895,0.988238452
50,25,0.0001,64,0.998677015,0.004366964,0.985715926,0.044689085,0.985794952,0.985715912,0.985702255
